                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8293,                 4.9127,                  1.403,                0.00258,                0.45833,                0.00426,                0.00262,                 1.3869,                  4.293,                 1.0362,                 0.0955,                 0.0005,                 0.0005
                      1,                 1.5935,                  4.559,                 1.1918,                0.00231,                    0.5,                0.00512,                0.00263,                 1.3486,                 4.1919,                0.93741,               0.090089,              0.0010891,              0.0010891
                      2,                 1.4493,                 4.4212,                 1.1083,                 0.0022,                    0.5,                0.00478,                0.00314,                 1.2765,                 4.1493,                0.92901,               0.084666,              0.0016663,              0.0016663
                      3,                 1.4297,                 3.9723,                 1.0356,                0.00217,                    0.5,                0.00521,                0.00337,                 1.2288,                 4.0414,                0.91077,               0.079232,              0.0022317,              0.0022317
                      4,                 1.3709,                 3.8921,                 1.0448,                0.00215,                    0.5,                0.00886,                0.00475,                 1.2091,                 3.9492,                0.90292,               0.073785,              0.0027852,              0.0027852
                      5,                 1.3649,                 3.3556,                0.97228,                0.00213,                    0.5,                0.00972,                0.00569,                 1.2689,                 3.7895,                0.90397,               0.068327,              0.0033267,              0.0033267
                      6,                 1.3595,                 2.6476,                 1.0138,                0.00218,                    0.5,                0.46455,                0.31411,                 1.3752,                  3.439,                0.95746,               0.062856,              0.0038565,              0.0038565
                      7,                 1.3424,                 2.3556,                 1.0043,                0.00348,                0.61538,                0.49829,                0.33115,                 1.2906,                 3.3453,                  0.949,               0.057374,              0.0043743,              0.0043743
                      8,                 1.2862,                 1.8438,                0.96741,                0.00623,                0.84615,                0.54584,                0.36694,                 1.4132,                 3.2351,                0.94525,                0.05188,              0.0048802,              0.0048802
                      9,                 1.4131,                 1.9599,                0.99689,                0.00696,                0.96154,                0.68637,                0.42435,                 1.2885,                   3.17,                0.92518,               0.046374,              0.0053743,              0.0053743
                     10,                 1.4214,                 1.8347,                  1.028,                0.00697,                      1,                0.73492,                0.41443,                 1.4011,                 3.0078,                   0.96,               0.040857,              0.0058565,              0.0058565
                     11,                 1.4218,                 1.7792,                 1.0314,                0.00609,                0.92308,                0.85354,                0.50595,                 1.3487,                  2.997,                0.94858,               0.035327,              0.0063268,              0.0063268
                     12,                 1.3485,                   1.66,                0.99351,                0.99117,                    0.5,                0.95819,                0.46571,                 1.5414,                 2.4566,                 1.0137,               0.029785,              0.0067852,              0.0067852
                     13,                 1.4008,                 1.5204,                  1.014,                      1,                0.48481,                0.92744,                0.49466,                 1.3902,                 2.4272,                0.93403,               0.024232,              0.0072318,              0.0072318
                     14,                 1.5239,                 1.6539,                 1.1108,                      1,                0.48481,                0.92744,                0.49466,                 1.3902,                 2.4272,                0.93403,               0.018666,              0.0076665,              0.0076665
                     15,                 1.4889,                 1.8797,                 1.0937,                      1,                0.54424,                0.97857,                0.45861,                 1.3528,                 2.7305,                0.95449,               0.013089,              0.0080892,              0.0080892
                     16,                 1.4926,                 1.8377,                 1.1157,                      1,                0.42242,                0.89233,                0.43403,                 1.3874,                 2.4104,                0.97482,               0.008416,               0.008416,               0.008416
